,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
131,Markieff Morris,LAL,31,61,32,29,19.7,107.1,106.3,0.8,8.8,1.35,13.9,4.0,17.6,10.9,10.3,49.1,50.9,16.0,100.47,7.6,"2,512"
132,Michael Porter Jr.,DEN,22,61,40,21,31.3,120.2,111.9,8.3,5.2,0.91,6.9,5.1,18.9,12.1,7.6,64.6,66.3,21.4,98.10,12.5,"3,924"
133,Precious Achiuwa,MIA,21,61,31,30,12.1,102.0,109.2,-7.2,6.4,0.67,8.3,9.7,17.4,13.6,12.3,54.4,55.0,18.4,101.39,8.6,"1,555"
134,Richaun Holmes,SAC,27,61,29,32,29.2,114.9,114.6,0.3,8.2,1.35,12.3,8.1,19.6,14.0,9.1,63.8,66.9,17.3,100.46,12.2,"3,728"
135,Stanley Johnson,TOR,24,61,25,36,16.5,105.3,111.7,-6.4,12.7,1.65,22.3,2.7,12.8,7.5,13.5,47.9,51.9,13.0,101.77,5.6,"2,122"
136,Terence Davis,SAC,24,61,26,35,17.6,107.3,110.1,-2.8,12.2,1.32,13.3,1.8,12.5,7.0,10.1,53.5,55.5,21.3,102.23,8.7,"2,286"
137,Tyrese Maxey,PHI,20,61,41,20,15.3,106.4,108.0,-1.6,20.7,2.93,19.4,1.1,9.8,5.4,6.6,49.8,53.1,22.2,101.20,10.6,"1,963"
138,Zion Williamson,NOP,20,61,29,32,33.2,113.9,111.7,2.1,18.8,1.35,13.7,8.1,13.1,10.6,10.1,61.6,64.9,28.7,103.30,16.1,"4,358"
139,Bradley Beal,WAS,27,60,32,28,35.8,114.4,114.8,-0.4,20.2,1.42,13.2,3.3,9.4,6.4,9.3,53.2,59.3,33.1,105.21,14.5,"4,713"
140,Cameron Johnson,PHX,25,60,43,17,24.0,112.2,106.5,5.7,8.3,2.15,13.6,2.3,11.8,7.0,6.3,54.1,56.3,16.4,98.76,8.1,"2,958"
141,Cameron Payne,PHX,26,60,42,18,18.0,116.4,108.6,7.8,28.1,3.62,31.1,1.6,11.9,6.9,8.6,57.6,60.2,19.3,99.23,11.7,"2,233"
142,Chris Boucher,TOR,28,60,25,35,24.2,114.4,110.7,3.8,6.8,1.37,8.4,7.8,19.2,13.5,6.1,59.5,63.4,20.2,100.04,13.2,"3,020"
143,Collin Sexton,CLE,22,60,18,42,35.3,104.8,114.0,-9.2,22.2,1.57,15.5,2.7,6.3,4.4,9.9,51.9,57.3,28.6,99.26,11.5,"4,386"
144,Dorian Finney-Smith,DAL,28,60,36,24,32.0,117.2,112.1,5.1,7.0,2.13,16.1,5.2,11.6,8.4,7.6,60.0,60.9,12.0,98.37,7.4,"3,935"
145,Jae Crowder,PHX,30,60,42,18,27.5,114.3,107.9,6.3,10.2,2.31,18.1,2.0,14.6,8.5,7.8,55.5,57.4,15.2,100.00,8.1,"3,434"
146,Jaxson Hayes,NOP,21,60,24,36,16.1,104.6,105.5,-0.9,5.7,0.90,8.6,8.7,16.1,12.4,9.6,63.6,67.5,15.6,103.55,12.3,"2,078"
147,Jevon Carter,PHX,25,60,42,18,11.9,110.9,107.6,3.3,13.6,4.44,22.8,2.2,10.7,6.3,5.1,54.7,54.8,14.6,99.79,7.5,"1,482"
148,Lonnie Walker IV,SAS,22,60,28,32,25.4,109.4,115.7,-6.3,9.5,1.55,12.6,0.9,9.3,5.0,8.1,50.2,52.3,19.9,100.05,6.3,"3,168"
149,Mychal Mulder,GSW,26,60,33,27,12.8,111.3,108.4,2.9,4.7,1.63,8.2,1.0,6.2,3.7,5.0,60.9,61.3,15.7,105.81,6.2,"1,695"
150,Brandon Clarke,MEM,24,59,32,27,24.0,109.5,109.3,0.2,9.4,2.88,14.3,6.4,16.0,11.1,5.0,53.7,56.0,16.7,101.99,11.0,"2,996"
151,Cedi Osman,CLE,26,59,17,42,25.6,103.3,114.2,-11.0,17.3,2.17,19.8,2.4,11.3,6.7,9.1,45.8,48.8,19.8,99.00,7.3,"3,124"
152,Josh Okogie,MIN,22,59,21,38,20.3,107.7,114.3,-6.6,7.2,1.47,15.5,4.8,7.9,6.3,10.6,45.9,52.4,11.9,102.94,4.5,"2,556"
153,Josh Richardson,DAL,27,59,35,24,30.3,113.5,113.7,-0.2,12.3,1.94,17.1,2.8,7.9,5.4,8.8,49.8,53.7,18.1,98.27,7.3,"3,647"
154,Jrue Holiday,MIL,30,59,41,18,32.3,117.9,108.8,9.2,25.3,2.81,26.2,3.7,9.3,6.6,9.3,57.0,59.2,21.7,103.99,12.4,"4,131"
155,Xavier Tillman,MEM,22,59,31,28,18.4,109.5,106.6,2.9,9.6,1.67,17.1,6.5,16.3,11.3,10.3,59.5,60.5,14.2,101.41,9.5,"2,276"
156,Alex Caruso,LAL,27,58,32,26,21.0,107.2,101.7,5.5,19.0,2.11,27.9,2.5,11.4,6.9,13.2,52.6,54.7,14.4,100.29,8.4,"2,532"
